district,chiefdom,health_facility,name,yr_2015,yr_2016,,,,,,,,,
Tonkolili,Kunike,MCHP Maconteh Thama,"Kunike, MCHP Maconteh Thama",1159,1738.5,,,,,,,,,
Tonkolili,Gbonkolenken,Lion Heart Hospital,"Gbonkolenken, Lion Heart Hospital",,,,,,,,,,,
Tonkolili,Gbonkolenken,CHC Yele,"Gbonkolenken, CHC Yele",10310,15465,,,,,,,,,
Tonkolili,Gbonkolenken,CHC Mayepoh,"Gbonkolenken, CHC Mayepoh",6062,9093,,,,,,,,,
Tonkolili,Gbonkolenken,CHP Makonkorie,"Gbonkolenken, CHP Makonkorie",6354,9531,,,,,,,,,
Tonkolili,Gbonkolenken,MCHP Yeben,"Gbonkolenken, MCHP Yeben",6354,9531,,,,,,,,,
Tonkolili,Gbonkolenken,MCHP Maraka,"Gbonkolenken, MCHP Maraka",6039,9058.5,,,,,,,,,
Tonkolili,Gbonkolenken,MCHP Mathamp,"Gbonkolenken, MCHP Mathamp",6073,9109.5,,,,,,,,,
Tonkolili,Gbonkolenken,MCHP Petifu Mayepoh,"Gbonkolenken, MCHP Petifu Mayepoh",6864,10296,,,,,,,,,
Tonkolili,Gbonkolenken,MCHP Mansumana,"Gbonkolenken, MCHP Mansumana",6261,9391.5,,,,,,,,,
Tonkolili,Gbonkolenken,MCHP Mabarr Polie,"Gbonkolenken, MCHP Mabarr Polie",3531,5296.5,,,,,,,,,
Tonkolili,Gbonkolenken,MCHP Mafay,"Gbonkolenken, MCHP Mafay",,,,,,,,,,,
Tonkolili,Gbonkolenken,MCHP Warrima,"Gbonkolenken, MCHP Warrima",5187,7780.5,,,,,,,,,
Tonkolili,Gbonkolenken,CHC Manowo,"Gbonkolenken, CHC Manowo",2264,3396,,,,,,,,,
Tonkolili,Kholifa Mabang,CHC Mabang,"Kholifa Mabang, CHC Mabang",4430,6645,,,,,,,,,
Tonkolili,Kholifa Mabang,MCHP Kumrabai Station,"Kholifa Mabang, MCHP Kumrabai Station",3299,4948.5,,,,,,,,,
Tonkolili,Kholifa Mabang,MCHP Mamansokafla,"Kholifa Mabang, MCHP Mamansokafla",2946,4419,,,,,,,,,
Tonkolili,Kholifa Mabang,MCHP Mabai,"Kholifa Mabang, MCHP Mabai",3515,5272.5,,,,,,,,,
Tonkolili,Kholifa Mabang,MCHP Mathinkalol,"Kholifa Mabang, MCHP Mathinkalol",2769,4153.5,,,,,,,,,
Tonkolili,Kholifa Mabang,MCHP Marunia,"Kholifa Mabang, MCHP Marunia",1401,2101.5,,,,,,,,,
Tonkolili,Malal Mara,CHC  Mara.,"Malal Mara, CHC  Mara.",4722,7083,,,,,,,,,
Tonkolili,Malal Mara,MCHP Manewa,"Malal Mara, MCHP Manewa",3444,5166,,,,,,,,,
Tonkolili,Malal Mara,MCHP Rochen malal,"Malal Mara, MCHP Rochen malal",3154,4731,,,,,,,,,
Tonkolili,Malal Mara,MCHP Macobabana,"Malal Mara, MCHP Macobabana",3189,4783.5,,,,,,,,,
Tonkolili,Malal Mara,MCHP Robina,"Malal Mara, MCHP Robina",2818,4227,,,,,,,,,
Tonkolili,Malal Mara,MCHP Kiampkakolo,"Malal Mara, MCHP Kiampkakolo",2789,4183.5,,,,,,,,,
Tonkolili,Yoni,CHC Hinistas Mile 91,"Yoni, CHC Hinistas Mile 91",11713,17569.5,,,,,,,,,
Tonkolili,Yoni,MCHP Magboki Rd. 91,"Yoni, MCHP Magboki Rd. 91",2435,3652.5,,,,,,,,,
Tonkolili,Yoni,CHP Rochen kamandao,"Yoni, CHP Rochen kamandao",4175,6262.5,,,,,,,,,
Tonkolili,Yoni,CHP Rorocks,"Yoni, CHP Rorocks",4616,6924,,,,,,,,,
Tonkolili,Yoni,CHP Bakeloko,"Yoni, CHP Bakeloko",4244,6366,,,,,,,,,
Tonkolili,Yoni,MCHP Mayorgbor,"Yoni, MCHP Mayorgbor",4111,6166.5,,,,,,,,,
Tonkolili,Yoni,MCHP Foindu,"Yoni, MCHP Foindu",3067,4600.5,,,,,,,,,
Tonkolili,Yoni,MCHP Bonkababay,"Yoni, MCHP Bonkababay",3467,5200.5,,,,,,,,,
Tonkolili,Yoni,MCHP Yonibana,"Yoni, MCHP Yonibana",5282,7923,,,,,,,,,
Tonkolili,Yoni,MCHP KumrabaiYoni,"Yoni, MCHP KumrabaiYoni",5752,8628,,,,,,,,,
Tonkolili,Yoni,MCHP Magbassabana,"Yoni, MCHP Magbassabana",4737,7105.5,,,,,,,,,
Tonkolili,Yoni,MCHP Magbaesa,"Yoni, MCHP Magbaesa",4697,7045.5,,,,,,,,,
Tonkolili,Yoni,MCHP Roneitta,"Yoni, MCHP Roneitta",4772,7158,,,,,,,,,
Tonkolili,Yoni,MCHP Bathbana,"Yoni, MCHP Bathbana",4778,7167,,,,,,,,,
Tonkolili,Yoni,MCHP Makeni Rokfula,"Yoni, MCHP Makeni Rokfula",4929,7393.5,,,,,,,,,
Tonkolili,Yoni,MCHP Magbafth,"Yoni, MCHP Magbafth",3785,5677.5,,,,,,,,,
Tonkolili,Yoni,CHC  Mathoir,"Yoni, CHC  Mathoir",6491,9736.5,,,,,,,,,
Tonkolili,Yoni,MCHP Rokimbi,"Yoni, MCHP Rokimbi",5787,8680.5,,,,,,,,,
Tonkolili,Yoni,MCHP Mamaka,"Yoni, MCHP Mamaka",4343,6514.5,,,,,,,,,
Tonkolili,Yoni,MCHP Makelleh,"Yoni, MCHP Makelleh",3670,5505,,,,,,,,,
Tonkolili,Yoni,MCHP Makondu,"Yoni, MCHP Makondu",3655,5482.5,,,,,,,,,
Tonkolili,Yoni,MCHP Petifu fulamansa,"Yoni, MCHP Petifu fulamansa",3879,5818.5,,,,,,,,,
Tonkolili,Yoni,MCHP Robarie,"Yoni, MCHP Robarie",3247,4870.5,,,,,,,,,
Tonkolili,Yoni,MCHP Macrogba.,"Yoni, MCHP Macrogba.",3383,5074.5,,,,,,,,,
Tonkolili,Yoni,CHP Masengbeh,"Yoni, CHP Masengbeh",2905,4357.5,,,,,,,,,
Tonkolili,Yoni,MCHP Mananie,"Yoni, MCHP Mananie",1135,1702.5,,,,,,,,,
Tonkolili,Yoni,MCHP Masiperr,"Yoni, MCHP Masiperr",1235,1852.5,,,,,,,,,
Tonkolili,Yoni,MCHP Matawa,"Yoni, MCHP Matawa",,,,,,,,,,,
Tonkolili,Yoni,MCHP Magbosie,"Yoni, MCHP Magbosie",1159,1738.5,,2015 pop,2016 pop,,2015 pop,2016 pop,,2015 pop,2016 pop
Tonkolili,Gbonkolenken,,Gbonkolenken,65299,97948.5,,84344.54167,87065.33333,,63397.08738,65299,,69275.7091,71353.98037
Tonkolili,Kafe Simira,,Kafe Simira,24901,37351.5,,32163.79167,33201.33333,,24175.72816,24901,,26417.4709,27209.99503
Tonkolili,Kalansogoia,,Kalansogoia,23613,35419.5,,30500.125,31484,,22925.24272,23613,,25051.0317,25802.56265
Tonkolili,Kholifa Mabang,,Kholifa Mabang,18360,27540,,23715,24480,,17825.24272,18360,,19478.124,20062.46772
Tonkolili,Kholifa Rowalla,,Kholifa Rowalla,60291,90436.5,,77875.875,80388,,58534.95146,60291,,63962.7219,65881.60356
Tonkolili,Kunike,,Kunike,60344,90516,,77944.33333,80458.66667,,58586.40777,60344,,64018.9496,65939.51809
Tonkolili,Kunike Barina,,Kunike Barina,17502,26253,,22606.75,23336,,16992.23301,17502,,18567.8718,19124.90795
Tonkolili,Malal Mara,,Malal Mara,20116,30174,,25983.16667,26821.33333,,19530.09709,20116,,21341.0644,21981.29633
Tonkolili,Sambaya Bendugu,,Sambaya Bendugu,28503,42754.5,,36816.375,38004,,27672.81553,28503,,30238.8327,31145.99768
Tonkolili,Tane,,Tane,26654,39981,,34428.08333,35538.66667,,25877.6699,26654,,28277.2286,29125.54546
Tonkolili,Yoni,,Yoni,117449,176173.5,,151704.9583,156598.6667,,114028.1553,117449,,124601.6441,128339.6934
,,,,,,,,,,,,,,0
,,,,463032,694548,,598083,617376,,449545.6311,463032,,491230.6488,505967.5683
