district,chiefdom,health_facility,name,population,year,source
Tonkolili,Kunike Barina,MCHP Mapamuri,"Kunike Barina, MCHP Mapamuri",3514,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,CHC Masingbi,"Kunike, CHC Masingbi",10495,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Mafulka,"Kunike, MCHP Mafulka",2750,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,CHP Mamansosanka,"Kunike, CHP Mamansosanka",6378,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Petifuline,"Kunike, MCHP Petifuline",6958,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Masiaka,"Kunike, MCHP Masiaka",4639,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Fothaneh Junct.,"Kunike, MCHP Fothaneh Junct.",6958,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Matholley,"Kunike, MCHP Matholley",3769,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Mabineh,"Kunike, MCHP Mabineh",4001,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Magbanabom,"Kunike, MCHP Magbanabom",4639,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Fothaneh Bana,"Kunike, MCHP Fothaneh Bana",3958,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Patifu Mandugu,"Kunike, MCHP Patifu Mandugu",2320,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Magbanto Bana,"Kunike, MCHP Magbanto Bana",2320,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kunike,MCHP Maconteh Thama,"Kunike, MCHP Maconteh Thama",1159,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,Lion Heart Hospital,"Gbonkolenken, Lion Heart Hospital",,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,CHC Yele,"Gbonkolenken, CHC Yele",10310,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,CHC Mayepoh,"Gbonkolenken, CHC Mayepoh",6062,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,CHP Makonkorie,"Gbonkolenken, CHP Makonkorie",6354,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,MCHP Yeben,"Gbonkolenken, MCHP Yeben",6354,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,MCHP Maraka,"Gbonkolenken, MCHP Maraka",6039,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,MCHP Mathamp,"Gbonkolenken, MCHP Mathamp",6073,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,MCHP Petifu Mayepoh,"Gbonkolenken, MCHP Petifu Mayepoh",6864,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,MCHP Mansumana,"Gbonkolenken, MCHP Mansumana",6261,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,MCHP Mabarr Polie,"Gbonkolenken, MCHP Mabarr Polie",3531,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,MCHP Mafay,"Gbonkolenken, MCHP Mafay",,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,MCHP Warrima,"Gbonkolenken, MCHP Warrima",5187,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Gbonkolenken,CHC Manowo,"Gbonkolenken, CHC Manowo",2264,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Mabang,CHC Mabang,"Kholifa Mabang, CHC Mabang",4430,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Mabang,MCHP Kumrabai Station,"Kholifa Mabang, MCHP Kumrabai Station",3299,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Mabang,MCHP Mamansokafla,"Kholifa Mabang, MCHP Mamansokafla",2946,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Mabang,MCHP Mabai,"Kholifa Mabang, MCHP Mabai",3515,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Mabang,MCHP Mathinkalol,"Kholifa Mabang, MCHP Mathinkalol",2769,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Mabang,MCHP Marunia,"Kholifa Mabang, MCHP Marunia",1401,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Malal Mara,CHC  Mara.,"Malal Mara, CHC  Mara.",4722,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Malal Mara,MCHP Manewa,"Malal Mara, MCHP Manewa",3444,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Malal Mara,MCHP Rochen malal,"Malal Mara, MCHP Rochen malal",3154,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Malal Mara,MCHP Macobabana,"Malal Mara, MCHP Macobabana",3189,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Malal Mara,MCHP Robina,"Malal Mara, MCHP Robina",2818,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Malal Mara,MCHP Kiampkakolo,"Malal Mara, MCHP Kiampkakolo",2789,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,CHC Hinistas Mile 91,"Yoni, CHC Hinistas Mile 91",11713,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Magboki Rd. 91,"Yoni, MCHP Magboki Rd. 91",2435,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,CHP Rochen kamandao,"Yoni, CHP Rochen kamandao",4175,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,CHP Rorocks,"Yoni, CHP Rorocks",4616,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,CHP Bakeloko,"Yoni, CHP Bakeloko",4244,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Mayorgbor,"Yoni, MCHP Mayorgbor",4111,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Foindu,"Yoni, MCHP Foindu",3067,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Bonkababay,"Yoni, MCHP Bonkababay",3467,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Yoni,MCHP Yonibana,"Yoni, MCHP Yonibana",5282,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
