district,chiefdom,health_facility,name,yr_2015,yr_2017,,,,
Tonkolili,Kunike,Matholey MCHP,"Kunike, Matholey MCHP",3769,4999,,,,
Tonkolili,Kunike,Petifu Mandugu MCHP,"Kunike, Petifu Mandugu MCHP",2320,3076,,,,
Tonkolili,Kunike,Petifuline MCHP,"Kunike, Petifuline MCHP",6958,9228,,,,
Tonkolili,Kunike,,Kunike,60344,80030,,,,
Tonkolili,Kunike Barina,Makali (Kunike Barina) CHC,"Kunike Barina, Makali (Kunike Barina) CHC",4523,6920,,,,
Tonkolili,Kunike Barina,Makoni Line MCHP,"Kunike Barina, Makoni Line MCHP",3479,5323,,,,
Tonkolili,Kunike Barina,Mapamurie MCHP,"Kunike Barina, Mapamurie MCHP",3514,5377,,,,
Tonkolili,Kunike Barina,Massaba MCHP,"Kunike Barina, Massaba MCHP",3151,4821,,,,
Tonkolili,Kunike Barina,Wonkibor MCHP,"Kunike Barina, Wonkibor MCHP",2835,4339,,,,
Tonkolili,Kunike Barina,,Kunike Barina,17502,26780,,,,
Tonkolili,Malal Mara,Mara CHC,"Malal Mara, Mara CHC",4722,7688,,,,
Tonkolili,Malal Mara,Kiampkakolo MCHP,"Malal Mara, Kiampkakolo MCHP",2789,4541,,,,
Tonkolili,Malal Mara,Makoba Bana MCHP,"Malal Mara, Makoba Bana MCHP",3189,5192,,,,
Tonkolili,Malal Mara,Manewa MCHP,"Malal Mara, Manewa MCHP",3444,5608,,,,
Tonkolili,Malal Mara,Robina MCHP,"Malal Mara, Robina MCHP",2818,4588,,,,
Tonkolili,Malal Mara,Rochen Malal CHP,"Malal Mara, Rochen Malal CHP",3154,5135,,,,
Tonkolili,Malal Mara,,Malal Mara,20116,32752,,,,
Tonkolili,Sambaya Bendugu,Bendugu (Sambaya Bendugu) CHC,"Sambaya Bendugu, Bendugu (Sambaya Bendugu) CHC",7387,8878,,,,
Tonkolili,Sambaya Bendugu,Dankawalia MCHP,"Sambaya Bendugu, Dankawalia MCHP",4639,5575,,,,
Tonkolili,Sambaya Bendugu,Kholifaga MCHP,"Sambaya Bendugu, Kholifaga MCHP",6860,8244,,,,
Tonkolili,Sambaya Bendugu,Kunya CHP,"Sambaya Bendugu, Kunya CHP",4037,4851,,,,
Tonkolili,Sambaya Bendugu,Ninkikoro MCHP,"Sambaya Bendugu, Ninkikoro MCHP",5580,6706,,,,
Tonkolili,Sambaya Bendugu,,Sambaya Bendugu,28503,34254,,,,
Tonkolili,Tane,Matotoka CHC,"Tane, Matotoka CHC",5137,6831,,,,
Tonkolili,Tane,Makona MCHP,"Tane, Makona MCHP",2899,3855,,,,
Tonkolili,Tane,Makrugbeh CHP,"Tane, Makrugbeh CHP",2992,3978,,,,
Tonkolili,Tane,Mangaybana CHP,"Tane, Mangaybana CHP",2992,3978,,,,
Tonkolili,Tane,Masankoro MCHP,"Tane, Masankoro MCHP",2846,3784,,,,
Tonkolili,Tane,Mathonkara MCHP,"Tane, Mathonkara MCHP",3224,4287,,,,
Tonkolili,Tane,Mathufulie MCHP,"Tane, Mathufulie MCHP",3572,4749,,,,
Tonkolili,Tane,Rosengbeh MCHP,"Tane, Rosengbeh MCHP",2992,3978,,,,
Tonkolili,Tane,,Tane,26654,35440,,,,
Tonkolili,Yoni,Mathoir CHC,"Yoni, Mathoir CHC",6491,6588,,,,
Tonkolili,Yoni,Hinistas CHC,"Yoni, Hinistas CHC",11713,11888,,,,
Tonkolili,Yoni,Bakeloko MCHP,"Yoni, Bakeloko MCHP",4244,4308,,,,
